character,cast
Cio-Cio-san (Madama Butterfly),Rosina Storchio
"Suzuki, her maid",Giuseppina Giaconia
"B.F. Pinkerton, Lieutenant in the United States Navy",Giovanni Zenatello
"Sharpless, United States consul at Nagasaki",Giuseppe De Luca
"Goro, a matchmaker",Gaetano Pini-Corsi
Prince Yamadori,Emilio Venturini
"The Bonze, Cio-Cio-san's uncle",Paolo Wulman
"Yakusidé, Cio-Cio-san's uncle",Antonio Volponi
The Imperial Commissioner,Aurelio Viale
The Official Registrar,Ettore Gennari
Cio-Cio-san's mother,Tina Alasia
The cousin,Palmira Maggi
Kate Pinkerton,Margherita Manfredi
"Dolore ('Sorrow'), Cio-Cio-san's child",Ersilia Ghissoni